Date,Carbohydrates,Fiber,Protein,Fat
3/1/2023,214.2,0,0,0
3/1/2023,1520,0,80,560
3/1/2023,760,0,40,280
3/1/2023,108.1,0,0,0
3/1/2023,669.6,0,446.4,460.35
5/1/2023,163.2,0,0,7.2
5/1/2023,326.4,0,0,14.4
5/1/2023,336,0,0,24
5/1/2023,336,0,0,24
5/1/2023,1350,0,6,54
5/1/2023,4800,0,0,0
5/1/2023,800,0,0,0
5/1/2023,60,0,0,0
5/1/2023,150,0,0,25
5/1/2023,800,0,0,0
5/1/2023,168,0,0,12
5/1/2023,870.4,0,0,38.4
5/1/2023,648,0,0,0
7/1/2023,996.4,0,333.9,201.4
7/1/2023,57,0,26,12
9/1/2023,40.125,29.775,12.225,13.275
9/1/2023,41.475,43.925,25.725,32.2
9/1/2023,27.5,0,0,0
9/1/2023,28.3,0,0.8,0
10/1/2023,100,0,0,0
10/1/2023,90.36,0,0,0
10/1/2023,3360,0,0,0
12/1/2023,72.25,17,15.3,1.7
12/1/2023,17.36,0,25.73,11.47
13/1/2023,1602,0,40,8
14/1/2023,226,0,33.6,113.2
16/1/2023,125.4,0,1.32,0
16/1/2023,25,0,0.3,0.3
16/1/2023,1337.6,60.8,243.2,456
16/1/2023,7720,0,710,290
16/1/2023,560,0,72,132
16/1/2023,180,136,94,84
17/1/2023,3750.75,0,150.03,0
17/1/2023,456,0,24,24
18/1/2023,468.72,0,28.08,211.68
18/1/2023,900,0,0,0
18/1/2023,3600,0,0,0
18/1/2023,940.8,0,48,0
18/1/2023,5688,0,504,1512
18/1/2023,225,0,0,0
18/1/2023,1313.28,0,43.776,18.432
18/1/2023,357.5,0,825,1375
18/1/2023,290,20,40,70
18/1/2023,96.6,0,9.8,28
18/1/2023,132,0,92,164
18/1/2023,432,0,6,126
18/1/2023,1620,0,234,984
18/1/2023,72.5,0,8.75,3.75
18/1/2023,41.2,0,0,0
18/1/2023,288.4,0,0,0
18/1/2023,82.4,0,0,0
18/1/2023,232.9,0,501.5,870.4
20/1/2023,123.3,0,265.5,460.8
20/1/2023,123.3,0,265.5,460.8
25/1/2023,250,0,925,1380
25/1/2023,0,0,17.5,1400
25/1/2023,13.5,0,13.5,1847.25
31/1/2023,88,0,0,0
31/1/2023,108.16,5.44,5.44,0
31/1/2023,432,36,0,0
31/1/2023,173.056,8.704,8.704,0
31/1/2023,150,30,0,0
31/1/2023,76.8,15.36,0,0
31/1/2023,450,30,0,0
31/1/2023,129.6,43.2,0,0
31/1/2023,129.6,43.2,0,0
31/1/2023,64.8,21.6,0,0
31/1/2023,129.6,43.2,0,0
31/1/2023,66,13.5,0,0
31/1/2023,615.6,0,280.8,129.6
1/2/2023,1520,0,80,560
1/2/2023,416.75,0,16.67,0
1/2/2023,750,150,0,0
1/2/2023,304.2,15.3,15.3,0
1/2/2023,26.775,0,167.025,116.025
1/2/2023,280,0,0,20
1/2/2023,96.3,0,27,17.1
1/2/2023,300,20,100,120
1/2/2023,45,3,6,36
3/2/2023,417,0,85.1,134
3/2/2023,940.8,0,48,0
3/2/2023,940.8,0,48,0
3/2/2023,369.6,0,39,159
3/2/2023,29.25,0,3.9,15.5
3/2/2023,210.528,0,18.36,65.484
3/2/2023,272,16,32,72
3/2/2023,244,0,38.5,73
3/2/2023,219.5,0,33,78
3/2/2023,95.62,5.04,16.1,4.9
3/2/2023,59.461,0,8.148,20.661
3/2/2023,188.864,8.172,12.712,55.388
3/2/2023,54,0,4.5,14.25
3/2/2023,232.9,0,501.5,870.4
6/2/2023,3216,0,60,6
6/2/2023,1024,0,28,0
6/2/2023,38.27,0,8.17,0.43
6/2/2023,376.2,0,3.96,0
6/2/2023,113.76,0,25.2,14.64
6/2/2023,0.646,0,0.221,0.119
6/2/2023,432.6,0,48.3,308.7
6/2/2023,72,39.6,28.8,82.8
6/2/2023,38.64,7.56,8.96,22.68
6/2/2023,138.4,0,16.8,58.4
6/2/2023,128,0,0,0
6/2/2023,470.4,0,24,0
6/2/2023,110.8,0,20.4,160
6/2/2023,112.5,0,0,0
6/2/2023,900,0,100,100
6/2/2023,84,0,26,13.2
6/2/2023,1008,0,364,182
6/2/2023,2272,0,32,16
6/2/2023,493.5,0,52.5,31.5
6/2/2023,374.4,0,5.2,119.6
6/2/2023,432,0,6,126
7/2/2023,560,0,0,0
7/2/2023,905,0,92.5,56.25
7/2/2023,2896,0,296,180
7/2/2023,198,7.5,31.8,10.5
7/2/2023,210,0,0,0
7/2/2023,93,0,0,0
7/2/2023,372,0,0,0
7/2/2023,186,0,0,0
7/2/2023,93,0,0,0
7/2/2023,55.8,0,0,0
7/2/2023,93,0,0,0
7/2/2023,35,0,0,0
10/2/2023,3552,0,8,0
10/2/2023,115.5,34.5,38,33.5
10/2/2023,118.5,0,26.25,15.25
10/2/2023,51,0,51,0
10/2/2023,81.2,0,7.28,27.44
10/2/2023,403,0,37,2.35
10/2/2023,815,0,75,9
10/2/2023,102,0,21.25,0
10/2/2023,712.8,0,79.2,0
10/2/2023,53.55,0,2.975,7.65
10/2/2023,323.4,19.8,0,0
10/2/2023,163.2,0,0,7.2
10/2/2023,2176,0,0,96
10/2/2023,2176,0,0,96
10/2/2023,0,0,0,0
10/2/2023,118.6,0,8.8,3.2
10/2/2023,118.6,0,8.8,3.2
10/2/2023,0,0,48,16
11/2/2023,8150,0,750,90
13/2/2023,19.92,0,18.6,30.48
13/2/2023,51.24,33.96,21.24,28.56
13/2/2023,472.72,15.2,74.48,157.32
13/2/2023,934.8,30.4,174.8,288.8
13/2/2023,158.05,15.66,17.4,78.3
13/2/2023,1281,0,102,387
13/2/2023,411.36,9.6,24,14.88
13/2/2023,21,0,0,0
13/2/2023,16.24,0,34.22,21.75
13/2/2023,25.5,0,0,0
13/2/2023,35,0,1,1.3
14/2/2023,76.8,15.36,0,0
14/2/2023,450,30,0,0
14/2/2023,64,0,64,160
14/2/2023,3887.46,56.34,394.38,1183.14
14/2/2023,355.6,15.24,45.72,91.44
14/2/2023,125.4,5.7,13.3,43.7
14/2/2023,851.2,39.9,93.1,319.2
14/2/2023,657,9,81,135
14/2/2023,438,6,54,90
14/2/2023,284.7,7.8,31.2,62.4
14/2/2023,326.4,0,0,14.4
14/2/2023,504,0,0,36
14/2/2023,800,0,0,0
14/2/2023,1305.6,0,0,57.6
14/2/2023,217.6,0,0,9.6
14/2/2023,217.6,0,0,9.6
14/2/2023,216,0,0,0
14/2/2023,21,0,0,0
15/2/2023,361.44,0,0,0
15/2/2023,2349.36,0,0,0
15/2/2023,409.08,0,0,0
15/2/2023,102.24,0,13.28,38.4
16/2/2023,6923,0,230,1150
16/2/2023,43.5,0,124.5,505.5
16/2/2023,151.8,0,96.6,1614.6
16/2/2023,0,0,487.32,242.76
16/2/2023,1.5,0,65,55.5
16/2/2023,592,0,652,84
16/2/2023,511,0,591.5,273
16/2/2023,22.5,0,18.75,2925
16/2/2023,16.5,0,13.75,2145
16/2/2023,589.68,0,207.48,458.64
16/2/2023,290,20,40,70
16/2/2023,435,0,52.5,22.5
17/2/2023,526.02,0,47.52,5.28
17/2/2023,526.02,0,47.52,5.28
18/2/2023,11025,0,0,0
20/2/2023,35.75,0,0,0
20/2/2023,46,0,0,0
21/2/2023,840,0,0,0
21/2/2023,2397,0,192,18
21/2/2023,108.1,0,0,0
21/2/2023,4800,0,0,0
21/2/2023,7134.6,0,0,0
21/2/2023,279,0,18,27
21/2/2023,330,0,0,0
21/2/2023,325.6,0,9.2,0
21/2/2023,280,0,0,20
21/2/2023,152.15,0,35.7,3.4
21/2/2023,106.25,59.5,79.9,6.8
21/2/2023,486.45,0,0,0
21/2/2023,10701.9,0,0,0
21/2/2023,70,0,0,0
21/2/2023,35,0,0,0
21/2/2023,385.44,0,0,0
21/2/2023,13369.2,312,780,483.6
22/2/2023,840,0,23,0
22/2/2023,413.5,0,12,43
22/2/2023,4806,0,120,24
22/2/2023,4806,0,120,24
23/2/2023,5658.96,0,0,0
23/2/2023,320.4,0,8,1.6
23/2/2023,348,0,12,36
23/2/2023,23.2,3.2,2,14
23/2/2023,80,0,0,0
23/2/2023,903,0,63,10.5
23/2/2023,0,0,0,1572.48
23/2/2023,163.2,0,0,7.2
23/2/2023,163.2,0,0,7.2
23/2/2023,675,0,3,27
23/2/2023,800,0,0,0
23/2/2023,1600,0,0,0
23/2/2023,75,0,0,12.5
23/2/2023,217.6,0,0,9.6
23/2/2023,800,0,0,0
23/2/2023,648,0,0,0
23/2/2023,432,0,0,0
23/2/2023,90,3.8,15,2.5
23/2/2023,1540,55.6,220,20
23/2/2023,11165,403.1,1595,145
23/2/2023,13.5,4.5,12,22.5
23/2/2023,1474.04,34.4,86,53.32
23/2/2023,2211.06,51.6,129,79.98
23/2/2023,2211.06,51.6,129,79.98
23/2/2023,737.02,17.2,43,26.66
23/2/2023,368.51,8.6,21.5,13.33
24/2/2023,389.34,0,43.47,277.83
24/2/2023,207.6,0,25.2,87.6
24/2/2023,256.88,7.6,34.58,57.76
24/2/2023,3009.6,136.8,547.2,1026
24/2/2023,15440,0,1420,580
24/2/2023,15440,0,1420,580
24/2/2023,3860,0,355,145
24/2/2023,128,8,16,48
24/2/2023,9750,0,0,4000
24/2/2023,89.952,0,0,0
27/2/2023,0,0,0,830
1/3/2023,93,0,6,9
1/3/2023,597,0,0,3
1/3/2023,560,0,0,40
1/3/2023,15,1,2,12
3/3/2023,20.16,0,49.6,27.2
7/3/2023,140.4,0,18.72,74.4
7/3/2023,183.96,0,11.844,46.62
7/3/2023,292,0,18.8,74
7/3/2023,99.4,0,8.4,28.7
7/3/2023,336,16,16,96
7/3/2023,54,2.7,5.4,16.2
7/3/2023,108,0,9,28.5
9/3/2023,376.2,0,21.6,0
9/3/2023,1600,0,0,0
9/3/2023,1088,0,0,48
10/3/2023,500,0,133,183
10/3/2023,496.5,87.75,58.5,33
10/3/2023,93.6,7.2,36,7.2
10/3/2023,119.78,0,1.695,2.825
10/3/2023,1552.5,129.375,139.725,0
10/3/2023,806,0,74,4.7
10/3/2023,2821,0,259,16.45
10/3/2023,3124,0,44,22
10/3/2023,355.8,0,26.4,9.6
11/3/2023,0,0,236.7,175.5
11/3/2023,210,20,20,20
12/3/2023,96,0,72,12
12/3/2023,640,0,0,0
12/3/2023,120,0,0,0
12/3/2023,40,0,0,0
12/3/2023,720,0,0,0
14/3/2023,8,0,12,4
14/3/2023,220,0,88,88
14/3/2023,1200,0,0,0
