Date,Carbohydrates_avg,Fiber_avg,Protein_avg,Fat_avg,Carbohydrates_sem,Fiber_sem,Protein_sem,Fat_sem
2023-01-08,670.82,0.0,97.9,127.36,88.34,0.0,52.38,71.41
2023-01-15,618.12,5.38,20.76,27.83,324.87,3.65,7.38,21.42
2023-01-22,1204.24,8.48,167.34,232.78,433.66,8.11,38.57,95.84
2023-01-29,87.83,0.0,318.67,1542.42,,,,
2023-02-05,307.26,15.11,43.99,72.72,61.91,6.52,11.81,31.67
2023-02-12,2450.98,1.47,212.19,46.83,1899.9,0.7,179.31,17.22
2023-02-19,2344.34,3.58,58.58,170.83,1737.76,2.02,32.43,126.68
2023-02-26,2266.33,12.29,122.08,163.64,803.76,5.24,67.71,129.84
2023-03-05,112.14,0.08,17.2,291.07,102.22,0.08,16.21,269.49
2023-03-12,543.91,7.52,49.67,39.84,213.55,4.72,24.41,16.66
2023-03-19,1558.6,8.45,138.36,59.88,801.11,8.38,74.03,29.46
2023-03-26,436.14,11.19,59.96,141.29,160.53,11.19,11.66,52.06
2023-04-02,734.95,3.89,110.42,59.67,183.22,3.89,79.57,40.61
2023-04-09,7730.76,0.0,714.34,292.23,7709.24,0.0,705.66,287.77
2023-04-16,67.0,8.5,8.02,0.85,5.25,8.5,7.28,0.85
2023-04-23,893.4,3.44,16.77,59.67,680.96,3.44,0.75,26.98
2023-04-30,311.0,0.0,406.67,359.5,,,,
2023-05-07,234.32,4.2,90.92,127.32,206.82,4.2,90.92,127.32
2023-05-14,3516.25,16.75,314.68,963.78,2801.53,16.75,268.8,754.53
2023-05-21,252.83,6.8,31.16,55.79,53.15,4.61,20.64,31.17
2023-05-28,1812.62,0.0,143.77,77.13,1071.93,0.0,105.85,37.3
2023-06-04,645.37,8.67,46.12,51.61,210.34,5.44,18.32,41.1
2023-06-11,205.18,6.23,19.51,78.73,151.62,6.23,19.41,78.73
2023-06-18,1051.5,2.93,48.42,14.53,618.42,2.93,27.85,13.41
2023-06-25,3429.53,0.08,98.57,61.72,3159.7,0.05,76.36,17.31
2023-07-02,409.16,14.9,8.9,15.66,228.52,7.12,6.04,13.43
2023-07-09,442.57,2.73,24.75,44.76,177.11,1.23,5.14,14.79
2023-07-16,407.71,0.0,49.63,24.34,201.4,0.0,23.68,13.86
2023-07-23,1126.02,21.11,83.08,144.94,451.69,15.62,31.74,51.85
2023-07-30,1192.44,77.59,113.48,138.11,546.96,46.02,27.24,75.57
2023-08-06,1304.28,0.0,51.69,141.81,457.67,0.0,13.06,64.33
2023-08-13,1301.6,0.56,75.89,313.13,359.19,0.56,54.59,297.14
2023-08-20,1196.49,36.83,69.18,238.8,905.31,22.56,49.96,205.18
2023-08-27,2352.02,8.4,161.62,150.74,639.38,3.86,61.75,63.99
2023-09-03,1474.66,51.03,89.89,427.66,554.0,47.2,9.31,156.55
2023-09-10,1116.23,16.43,86.58,115.4,615.65,12.22,49.17,58.44
2023-09-17,2871.61,1.56,108.08,334.17,2719.53,0.78,95.55,311.9
2023-09-24,3267.66,21.74,74.7,489.38,1504.95,17.34,44.25,396.41
